Accession,FIA,FIB,FIC,AmoxiClav,Amoxicillin,Ceftazidime,Ciprofloxacin,Cefotaxime,Cefuroxime,Gentamicin,PipTaz
ERR434260,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434261,No_FIA,No_FIB,No_FIC,R,S,S,S,S,R,S,S
ERR434264,No_FIA,No_FIB,No_FIC,R,S,I,R,S,R,S,S
ERR434265,FIA,No_FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434266,FIA,FIB,No_FIC,R,S,S,R,S,R,R,S
ERR434269,FIA,No_FIB,No_FIC,R,S,S,R,S,S,S,S
ERR434270,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434271,FIA,No_FIB,No_FIC,R,S,S,R,S,S,S,S
ERR434273,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434275,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434276,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434277,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434280,FIA,FIB,No_FIC,S,S,S,R,S,R,S,S
ERR434281,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434282,No_FIA,FIB,FIC,R,S,R,R,R,R,R,S
ERR434283,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434284,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434285,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434286,FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434287,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,R,S
ERR434288,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434289,No_FIA,No_FIB,No_FIC,S,R,S,S,S,R,S,I
ERR434294,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434295,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434299,No_FIA,FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434302,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434304,No_FIA,No_FIB,No_FIC,R,R,R,R,R,R,S,S
ERR434305,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434306,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434307,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434308,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434309,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434311,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434312,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434313,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434314,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434315,No_FIA,FIB,FIC,S,R,S,R,S,S,S,S
ERR434316,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434317,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434319,FIA,No_FIB,No_FIC,S,R,R,R,R,R,R,S
ERR434320,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434321,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434322,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,R,R
ERR434330,FIA,FIB,No_FIC,R,R,S,S,S,S,S,I
ERR434331,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434332,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434333,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434335,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434336,No_FIA,No_FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434337,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434338,FIA,No_FIB,No_FIC,R,R,S,R,S,R,R,S
ERR434339,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434340,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434341,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434342,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434344,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434345,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434346,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434347,FIA,FIB,No_FIC,R,R,R,R,R,R,S,S
ERR434349,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434350,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
