"FIA_FIB_FIC","Resistance_Drug","count","percentage","Drug"
"FIA","R",3,4.34782608695652,"Ciprofloxacin"
"FIA","S",8,11.5942028985507,"Ciprofloxacin"
"No_FIA","R",8,11.5942028985507,"Ciprofloxacin"
"No_FIA","S",50,72.463768115942,"Ciprofloxacin"
"FIA","R",1,1.44927536231884,"Gentamicin"
"FIA","S",10,14.4927536231884,"Gentamicin"
"No_FIA","R",3,4.34782608695652,"Gentamicin"
"No_FIA","S",55,79.7101449275362,"Gentamicin"
"FIA","R",3,4.34782608695652,"AmoxiClav"
"FIA","S",8,11.5942028985507,"AmoxiClav"
"No_FIA","R",12,17.3913043478261,"AmoxiClav"
"No_FIA","S",46,66.6666666666667,"AmoxiClav"
"FIB","R",9,13.0434782608696,"Ciprofloxacin"
"FIB","S",31,44.9275362318841,"Ciprofloxacin"
"No_FIB","R",2,2.89855072463768,"Ciprofloxacin"
"No_FIB","S",27,39.1304347826087,"Ciprofloxacin"
"FIB","R",4,5.79710144927536,"Gentamicin"
"FIB","S",36,52.1739130434783,"Gentamicin"
"No_FIB","S",29,42.0289855072464,"Gentamicin"
"FIB","R",10,14.4927536231884,"AmoxiClav"
"FIB","S",30,43.4782608695652,"AmoxiClav"
"No_FIB","R",5,7.2463768115942,"AmoxiClav"
"No_FIB","S",24,34.7826086956522,"AmoxiClav"
"FIC","R",3,4.34782608695652,"Ciprofloxacin"
"FIC","S",10,14.4927536231884,"Ciprofloxacin"
"No_FIC","R",8,11.5942028985507,"Ciprofloxacin"
"No_FIC","S",48,69.5652173913043,"Ciprofloxacin"
"FIC","R",2,2.89855072463768,"Gentamicin"
"FIC","S",11,15.9420289855072,"Gentamicin"
"No_FIC","R",2,2.89855072463768,"Gentamicin"
"No_FIC","S",54,78.2608695652174,"Gentamicin"
"FIC","R",3,4.34782608695652,"AmoxiClav"
"FIC","S",10,14.4927536231884,"AmoxiClav"
"No_FIC","R",12,17.3913043478261,"AmoxiClav"
"No_FIC","S",44,63.768115942029,"AmoxiClav"
